interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,gas
2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,47316
2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,47267
2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,46762
2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,44939
2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,43183
2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,41231
2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,38567
2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,36171
2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,35034
2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,34719
2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,34028
2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,34297
2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,35009
2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,2023-12-02T07:00:00-05:00,2023-12-02T12:00:00+00:00,35271
2023-12-02T07:00:00-05:00,2023-12-02T12:00:00+00:00,2023-12-02T08:00:00-05:00,2023-12-02T13:00:00+00:00,36978
2023-12-02T08:00:00-05:00,2023-12-02T13:00:00+00:00,2023-12-02T09:00:00-05:00,2023-12-02T14:00:00+00:00,38035
2023-12-02T09:00:00-05:00,2023-12-02T14:00:00+00:00,2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,38401
2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,39665
2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,40150
2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,40004
2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,39515
2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,39102
2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,39811
2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,40825
2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,41795
2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,2023-12-02T19:00:00-05:00,2023-12-03T00:00:00+00:00,42184
2023-12-02T19:00:00-05:00,2023-12-03T00:00:00+00:00,2023-12-02T20:00:00-05:00,2023-12-03T01:00:00+00:00,42205
2023-12-02T20:00:00-05:00,2023-12-03T01:00:00+00:00,2023-12-02T21:00:00-05:00,2023-12-03T02:00:00+00:00,41371
2023-12-02T21:00:00-05:00,2023-12-03T02:00:00+00:00,2023-12-02T22:00:00-05:00,2023-12-03T03:00:00+00:00,40637
2023-12-02T22:00:00-05:00,2023-12-03T03:00:00+00:00,2023-12-02T23:00:00-05:00,2023-12-03T04:00:00+00:00,38803
2023-12-02T23:00:00-05:00,2023-12-03T04:00:00+00:00,2023-12-03T00:00:00-05:00,2023-12-03T05:00:00+00:00,36340
2023-12-03T00:00:00-05:00,2023-12-03T05:00:00+00:00,2023-12-03T01:00:00-05:00,2023-12-03T06:00:00+00:00,34758
2023-12-03T01:00:00-05:00,2023-12-03T06:00:00+00:00,2023-12-03T02:00:00-05:00,2023-12-03T07:00:00+00:00,33880
2023-12-03T02:00:00-05:00,2023-12-03T07:00:00+00:00,2023-12-03T03:00:00-05:00,2023-12-03T08:00:00+00:00,33352
2023-12-03T03:00:00-05:00,2023-12-03T08:00:00+00:00,2023-12-03T04:00:00-05:00,2023-12-03T09:00:00+00:00,33171
2023-12-03T04:00:00-05:00,2023-12-03T09:00:00+00:00,2023-12-03T05:00:00-05:00,2023-12-03T10:00:00+00:00,33154
2023-12-03T05:00:00-05:00,2023-12-03T10:00:00+00:00,2023-12-03T06:00:00-05:00,2023-12-03T11:00:00+00:00,33505
2023-12-03T06:00:00-05:00,2023-12-03T11:00:00+00:00,2023-12-03T07:00:00-05:00,2023-12-03T12:00:00+00:00,33957
2023-12-03T07:00:00-05:00,2023-12-03T12:00:00+00:00,2023-12-03T08:00:00-05:00,2023-12-03T13:00:00+00:00,34024
2023-12-03T08:00:00-05:00,2023-12-03T13:00:00+00:00,2023-12-03T09:00:00-05:00,2023-12-03T14:00:00+00:00,35950
2023-12-03T09:00:00-05:00,2023-12-03T14:00:00+00:00,2023-12-03T10:00:00-05:00,2023-12-03T15:00:00+00:00,36784
2023-12-03T10:00:00-05:00,2023-12-03T15:00:00+00:00,2023-12-03T11:00:00-05:00,2023-12-03T16:00:00+00:00,36960
2023-12-03T11:00:00-05:00,2023-12-03T16:00:00+00:00,2023-12-03T12:00:00-05:00,2023-12-03T17:00:00+00:00,36452
2023-12-03T12:00:00-05:00,2023-12-03T17:00:00+00:00,2023-12-03T13:00:00-05:00,2023-12-03T18:00:00+00:00,36589
2023-12-03T13:00:00-05:00,2023-12-03T18:00:00+00:00,2023-12-03T14:00:00-05:00,2023-12-03T19:00:00+00:00,36573
2023-12-03T14:00:00-05:00,2023-12-03T19:00:00+00:00,2023-12-03T15:00:00-05:00,2023-12-03T20:00:00+00:00,36409
2023-12-03T15:00:00-05:00,2023-12-03T20:00:00+00:00,2023-12-03T16:00:00-05:00,2023-12-03T21:00:00+00:00,37231
2023-12-03T16:00:00-05:00,2023-12-03T21:00:00+00:00,2023-12-03T17:00:00-05:00,2023-12-03T22:00:00+00:00,38780
2023-12-03T17:00:00-05:00,2023-12-03T22:00:00+00:00,2023-12-03T18:00:00-05:00,2023-12-03T23:00:00+00:00,40234
2023-12-03T18:00:00-05:00,2023-12-03T23:00:00+00:00,2023-12-03T19:00:00-05:00,2023-12-04T00:00:00+00:00,41245
2023-12-03T19:00:00-05:00,2023-12-04T00:00:00+00:00,2023-12-03T20:00:00-05:00,2023-12-04T01:00:00+00:00,41129
2023-12-03T20:00:00-05:00,2023-12-04T01:00:00+00:00,2023-12-03T21:00:00-05:00,2023-12-04T02:00:00+00:00,41419
2023-12-03T21:00:00-05:00,2023-12-04T02:00:00+00:00,2023-12-03T22:00:00-05:00,2023-12-04T03:00:00+00:00,39732
2023-12-03T22:00:00-05:00,2023-12-04T03:00:00+00:00,2023-12-03T23:00:00-05:00,2023-12-04T04:00:00+00:00,38626
2023-12-03T23:00:00-05:00,2023-12-04T04:00:00+00:00,2023-12-04T00:00:00-05:00,2023-12-04T05:00:00+00:00,37349
2023-12-04T00:00:00-05:00,2023-12-04T05:00:00+00:00,2023-12-04T01:00:00-05:00,2023-12-04T06:00:00+00:00,36078
2023-12-04T01:00:00-05:00,2023-12-04T06:00:00+00:00,2023-12-04T02:00:00-05:00,2023-12-04T07:00:00+00:00,35842
2023-12-04T02:00:00-05:00,2023-12-04T07:00:00+00:00,2023-12-04T03:00:00-05:00,2023-12-04T08:00:00+00:00,35549
2023-12-04T03:00:00-05:00,2023-12-04T08:00:00+00:00,2023-12-04T04:00:00-05:00,2023-12-04T09:00:00+00:00,35194
2023-12-04T04:00:00-05:00,2023-12-04T09:00:00+00:00,2023-12-04T05:00:00-05:00,2023-12-04T10:00:00+00:00,35768
2023-12-04T05:00:00-05:00,2023-12-04T10:00:00+00:00,2023-12-04T06:00:00-05:00,2023-12-04T11:00:00+00:00,37463
2023-12-04T06:00:00-05:00,2023-12-04T11:00:00+00:00,2023-12-04T07:00:00-05:00,2023-12-04T12:00:00+00:00,41270
2023-12-04T07:00:00-05:00,2023-12-04T12:00:00+00:00,2023-12-04T08:00:00-05:00,2023-12-04T13:00:00+00:00,44273
2023-12-04T08:00:00-05:00,2023-12-04T13:00:00+00:00,2023-12-04T09:00:00-05:00,2023-12-04T14:00:00+00:00,45065
2023-12-04T09:00:00-05:00,2023-12-04T14:00:00+00:00,2023-12-04T10:00:00-05:00,2023-12-04T15:00:00+00:00,44641
2023-12-04T10:00:00-05:00,2023-12-04T15:00:00+00:00,2023-12-04T11:00:00-05:00,2023-12-04T16:00:00+00:00,43853
2023-12-04T11:00:00-05:00,2023-12-04T16:00:00+00:00,2023-12-04T12:00:00-05:00,2023-12-04T17:00:00+00:00,44398
2023-12-04T12:00:00-05:00,2023-12-04T17:00:00+00:00,2023-12-04T13:00:00-05:00,2023-12-04T18:00:00+00:00,43706
2023-12-04T13:00:00-05:00,2023-12-04T18:00:00+00:00,2023-12-04T14:00:00-05:00,2023-12-04T19:00:00+00:00,43697
2023-12-04T14:00:00-05:00,2023-12-04T19:00:00+00:00,2023-12-04T15:00:00-05:00,2023-12-04T20:00:00+00:00,43796
2023-12-04T15:00:00-05:00,2023-12-04T20:00:00+00:00,2023-12-04T16:00:00-05:00,2023-12-04T21:00:00+00:00,44322
2023-12-04T16:00:00-05:00,2023-12-04T21:00:00+00:00,2023-12-04T17:00:00-05:00,2023-12-04T22:00:00+00:00,46400
2023-12-04T17:00:00-05:00,2023-12-04T22:00:00+00:00,2023-12-04T18:00:00-05:00,2023-12-04T23:00:00+00:00,48330
2023-12-04T18:00:00-05:00,2023-12-04T23:00:00+00:00,2023-12-04T19:00:00-05:00,2023-12-05T00:00:00+00:00,48132
2023-12-04T19:00:00-05:00,2023-12-05T00:00:00+00:00,2023-12-04T20:00:00-05:00,2023-12-05T01:00:00+00:00,47740
2023-12-04T20:00:00-05:00,2023-12-05T01:00:00+00:00,2023-12-04T21:00:00-05:00,2023-12-05T02:00:00+00:00,47619
2023-12-04T21:00:00-05:00,2023-12-05T02:00:00+00:00,2023-12-04T22:00:00-05:00,2023-12-05T03:00:00+00:00,46647
2023-12-04T22:00:00-05:00,2023-12-05T03:00:00+00:00,2023-12-04T23:00:00-05:00,2023-12-05T04:00:00+00:00,43401
2023-12-04T23:00:00-05:00,2023-12-05T04:00:00+00:00,2023-12-05T00:00:00-05:00,2023-12-05T05:00:00+00:00,41831
