date_local,hour_ending,locational_marginal_price
07/03/2019,1,21.82
07/03/2019,2,20.54
07/03/2019,3,19.9
07/03/2019,4,19.67
07/03/2019,5,19.45
07/03/2019,6,21.27
07/03/2019,7,21.34
07/03/2019,8,20.47
07/03/2019,9,20.5
07/03/2019,10,23.45
07/03/2019,11,25.68
07/03/2019,12,25.74
07/03/2019,13,30.38
07/03/2019,14,31.55
07/03/2019,15,35.29
07/03/2019,16,39.17
07/03/2019,17,43.34
07/03/2019,18,43.01
07/03/2019,19,37.25
07/03/2019,20,34.15
07/03/2019,21,31.29
07/03/2019,22,26.72
07/03/2019,23,22.74
07/03/2019,24,22.48
07/03/2020,1,17.4
07/03/2020,2,16.63
07/03/2020,3,14.57
07/03/2020,4,14.04
07/03/2020,5,14.09
07/03/2020,6,13.92
07/03/2020,7,13.91
07/03/2020,8,14.11
07/03/2020,9,16.09
07/03/2020,10,18.13
07/03/2020,11,16.99
07/03/2020,12,20.38
07/03/2020,13,21.45
07/03/2020,14,20.01
07/03/2020,15,18.36
07/03/2020,16,19.39
07/03/2020,17,21.03
07/03/2020,18,20.61
07/03/2020,19,17.13
07/03/2020,20,16.18
07/03/2020,21,15.32
07/03/2020,22,14.7
07/03/2020,23,14.59
07/03/2020,24,14.46
07/03/2021,1,25.48
07/03/2021,2,23.64
07/03/2021,3,23.39
07/03/2021,4,21.32
07/03/2021,5,22.26
07/03/2021,6,21.48
07/03/2021,7,21.59
07/03/2021,8,22.55
07/03/2021,9,25.82
07/03/2021,10,28.91
07/03/2021,11,23.54
07/03/2021,12,23.42
07/03/2021,13,23.59
07/03/2021,14,24.36
07/03/2021,15,24.8
07/03/2021,16,25.16
07/03/2021,17,26.69
07/03/2021,18,28.44
07/03/2021,19,26.8
07/03/2021,20,25.82
07/03/2021,21,25.6
07/03/2021,22,24.65
07/03/2021,23,23.8
07/03/2021,24,22.14
07/03/2022,1,51.81
07/03/2022,2,44.28
07/03/2022,3,44.38
07/03/2022,4,43.75
07/03/2022,5,42.85
07/03/2022,6,41.5
07/03/2022,7,42.97
07/03/2022,8,42.05
07/03/2022,9,42.59
07/03/2022,10,42.74
07/03/2022,11,43.13
07/03/2022,12,43.72
07/03/2022,13,48.31
07/03/2022,14,49.27
07/03/2022,15,49.9
07/03/2022,16,54.86
07/03/2022,17,68.13
07/03/2022,18,76.94
07/03/2022,19,77.72
07/03/2022,20,76.83
07/03/2022,21,66.74
07/03/2022,22,60.01
07/03/2022,23,48.41
07/03/2022,24,45.13
07/03/2023,1,31.07
07/03/2023,2,31.34
07/03/2023,3,33.28
07/03/2023,4,30.56
07/03/2023,5,30.75
07/03/2023,6,30.6
07/03/2023,7,31.82
07/03/2023,8,30.76
07/03/2023,9,36.68
07/03/2023,10,37.22
07/03/2023,11,38.75
07/03/2023,12,44.42
07/03/2023,13,44.48
07/03/2023,14,45.26
07/03/2023,15,47.5
07/03/2023,16,55.13
07/03/2023,17,59.36
07/03/2023,18,64.14
07/03/2023,19,63.74
07/03/2023,20,58.22
07/03/2023,21,52.05
07/03/2023,22,46.42
07/03/2023,23,41.9
07/03/2023,24,39.13
07/03/2024,1,24.04
07/03/2024,2,23.13
07/03/2024,3,22.43
07/03/2024,4,20.59
07/03/2024,5,21.21
07/03/2024,6,22.25
07/03/2024,7,22.96
07/03/2024,8,25.25
07/03/2024,9,26.22
07/03/2024,10,25.66
07/03/2024,11,24.85
07/03/2024,12,25.17
07/03/2024,13,28.79
07/03/2024,14,29.27
07/03/2024,15,29.98
07/03/2024,16,31.37
07/03/2024,17,31.64
07/03/2024,18,38.57
07/03/2024,19,39.36
07/03/2024,20,38.01
07/03/2024,21,33.05
07/03/2024,22,31.33
07/03/2024,23,26.13
07/03/2024,24,25.29
07/03/2025,1,38.42
07/03/2025,2,41.82
07/03/2025,3,35.96
07/03/2025,4,34.18
07/03/2025,5,34.22
07/03/2025,6,35.98
07/03/2025,7,42.47
07/03/2025,8,41.66
07/03/2025,9,39.11
07/03/2025,10,38.59
07/03/2025,11,37.89
07/03/2025,12,39.54
07/03/2025,13,49.47
07/03/2025,14,51.49
07/03/2025,15,58.88
07/03/2025,16,62.81
07/03/2025,17,75.82
07/03/2025,18,81.59
07/03/2025,19,81.45
07/03/2025,20,75.76
07/03/2025,21,72.18
07/03/2025,22,58.07
07/03/2025,23,47.8
07/03/2025,24,38.7
07/04/2019,1,24.29
07/04/2019,2,22.87
07/04/2019,3,21.6
07/04/2019,4,20.96
07/04/2019,5,19.59
07/04/2019,6,19.46
07/04/2019,7,19.54
07/04/2019,8,19.78
07/04/2019,9,19.75
07/04/2019,10,24.53
07/04/2019,11,26.66
07/04/2019,12,29.62
07/04/2019,13,28.35
07/04/2019,14,31.21
07/04/2019,15,34.08
07/04/2019,16,35.08
07/04/2019,17,35.66
07/04/2019,18,37.12
07/04/2019,19,35.84
07/04/2019,20,33.4
07/04/2019,21,31.2
07/04/2019,22,28.33
07/04/2019,23,25.74
07/04/2019,24,22.51
07/04/2020,1,16.44
07/04/2020,2,14.56
07/04/2020,3,14.65
07/04/2020,4,13.9
07/04/2020,5,13.56
07/04/2020,6,13.4
07/04/2020,7,12.74
07/04/2020,8,13.33
07/04/2020,9,14.23
07/04/2020,10,15.93
07/04/2020,11,15.21
07/04/2020,12,16.29
07/04/2020,13,14.88
07/04/2020,14,16.66
07/04/2020,15,19.47
07/04/2020,16,21.9
07/04/2020,17,23.19
07/04/2020,18,24.69
07/04/2020,19,23.82
07/04/2020,20,21.93
07/04/2020,21,19.51
07/04/2020,22,17.41
07/04/2020,23,17.85
07/04/2020,24,14.77
07/04/2021,1,24.08
07/04/2021,2,24.87
07/04/2021,3,21.63
07/04/2021,4,21.75
07/04/2021,5,20.53
07/04/2021,6,20.89
07/04/2021,7,18.08
07/04/2021,8,21.79
07/04/2021,9,21.87
07/04/2021,10,22.44
07/04/2021,11,22.76
07/04/2021,12,22.61
07/04/2021,13,22.5
07/04/2021,14,24.28
07/04/2021,15,24.39
07/04/2021,16,25.0
07/04/2021,17,26.86
07/04/2021,18,28.04
07/04/2021,19,30.06
07/04/2021,20,26.97
07/04/2021,21,27.02
07/04/2021,22,25.39
07/04/2021,23,24.35
07/04/2021,24,23.32
07/04/2022,1,46.66
07/04/2022,2,42.93
07/04/2022,3,40.41
07/04/2022,4,40.43
07/04/2022,5,40.4
07/04/2022,6,38.1
07/04/2022,7,41.5
07/04/2022,8,42.15
07/04/2022,9,42.46
07/04/2022,10,44.06
07/04/2022,11,43.86
07/04/2022,12,46.75
07/04/2022,13,46.52
07/04/2022,14,51.18
07/04/2022,15,52.46
07/04/2022,16,58.49
07/04/2022,17,69.52
07/04/2022,18,78.53
07/04/2022,19,79.97
07/04/2022,20,77.54
07/04/2022,21,72.42
07/04/2022,22,56.43
07/04/2022,23,49.21
07/04/2022,24,47.76
07/04/2023,1,39.02
07/04/2023,2,35.67
07/04/2023,3,31.81
07/04/2023,4,29.79
07/04/2023,5,29.25
07/04/2023,6,29.45
07/04/2023,7,29.63
07/04/2023,8,28.75
07/04/2023,9,30.5
07/04/2023,10,29.93
07/04/2023,11,30.51
07/04/2023,12,30.51
07/04/2023,13,34.92
07/04/2023,14,33.43
07/04/2023,15,33.25
07/04/2023,16,37.08
07/04/2023,17,37.08
07/04/2023,18,41.46
07/04/2023,19,44.64
07/04/2023,20,44.57
07/04/2023,21,43.63
07/04/2023,22,33.77
07/04/2023,23,37.66
07/04/2023,24,40.11
